event,n_produced,n_wall,n_pmt,first_residual_ns
1753,1919616,1836343,0,0.0332953
1754,927214,881227,0,0.227971
1755,44874,43507,0,0.402667
1756,468084,456325,0,0.149999
1757,51004,50660,0,0.0560545
1758,1707297,1660011,0,0.250354
1759,553101,540775,0,0.134187
1760,3227493,3125094,0,0.149814
1761,5870362,5624095,0,0.0770767
1762,350561,344877,0,0.0305134
1763,16040224,15662395,0,0.0159346
1764,1553813,1517605,0,0.0701988
1765,653860,636973,0,0.223501
1766,1480089,1415134,0,0.0828569
1767,1116842,1090312,0,0.0230876
1768,390810,384711,0,0.0325428
1769,586145,579182,0,0.0605391
1770,301423,289309,0,0.326879
1771,821050,808358,0,0.298593
1772,1023916,1004144,0,0.331031
1773,5990228,5752533,0,0.0026544
1774,2247541,2183166,0,0.14122
1775,2404732,2337005,0,0.184414
1776,556741,545025,0,0.299878
1777,24250,23860,0,0.193718
1778,429441,412017,0,0.306771
1779,1813,1809,0,0.00281893
1780,259881,257696,0,0.0454425
1781,1598349,1517321,0,0.0517469
1782,1890094,1814377,0,0.0115553
1783,1653361,1606966,0,0.109637
1784,0,0,0,0
1785,1053767,1036076,0,0.379086
1786,3640737,3558226,0,1.8885
1787,4183098,4099986,0,0.0477434
1788,17127344,16755129,0,0.293907
1789,86772,85955,0,0.00975852
1790,12628,12516,0,0.00395214
1791,83697330,79247090,0,0.0605591
1792,5178188,4985086,0,0.00895558
1793,985070,965320,0,0.13065
1794,1283434,1256235,0,0.105041
1795,95413,91637,0,0.0643818
1796,173228,169351,0,0.0568831
1797,92834,91744,0,0.16478
1798,2720789,2588503,0,0.040895
1799,147512,143359,0,0.236568
1800,3954019,3757844,0,0.361192
1801,1465637,1422728,0,0.101172
1802,42459169,40174419,0,0.15315
1803,636601,626922,0,0.231972
1804,318244,313728,0,0.142742
1805,239053,234220,0,0.0293305
1806,1532,1514,0,0.210018
1807,248558,241841,0,0.111548
1808,1254621,1238548,0,0.133602
1809,762649,748795,0,0.0855803
1810,31690,31519,0,0.013101
1811,94440,92820,0,0.117903
1812,21182407,20215908,0,0.00641835
1813,337225,330576,0,0.18823
